task,target_index,metric,valid,test
toxcast,363,auc,0.8,0.75
toxcast,364,auc,0.7083333333333334,0.40476190476190477
toxcast,365,auc,0.75,0.047619047619047616
toxcast,366,auc,0.8653846153846154,0.7157894736842105
toxcast,367,auc,0.42857142857142855,0.44285714285714284
toxcast,368,auc,1.0,0.5
toxcast,369,auc,0.7,0.6428571428571429
toxcast,370,auc,1.0,0.7987012987012987
toxcast,371,auc,nan,0.25925925925925924
toxcast,372,auc,0.6857142857142857,0.5285714285714286
toxcast,373,auc,0.75,0.71875
toxcast,374,auc,0.5178571428571429,0.5636363636363636
toxcast,375,auc,0.7063492063492064,0.4351851851851852
toxcast,376,auc,0.3333333333333333,0.8888888888888888
toxcast,377,auc,0.5,0.32222222222222224
toxcast,378,auc,0.3333333333333333,1.0
toxcast,379,auc,0.9166666666666666,0.42857142857142855
toxcast,380,auc,1.0,0.8055555555555556
toxcast,381,auc,0.5833333333333334,0.08333333333333333
toxcast,382,auc,1.0,0.8214285714285714
toxcast,383,auc,0.6923076923076923,0.375
toxcast,384,auc,0.6666666666666666,0.06944444444444445
toxcast,385,auc,0.75,0.125
toxcast,386,auc,nan,0.8947368421052632
toxcast,387,auc,0.875,0.5803571428571429
